config,alignment,loss,repr_mode,eer_mean,eer_std,auc_mean,auc_std,dprime_mean,dprime_std,tar_at_far1_mean,rank1,latency_probe_s_mean
A0_softmax,A0,softmax,raw_ply,0.10818181818181818,0.0403679131413378,0.9538108356290174,0.02666303632952267,1.8601046523289646,0.25157832378764394,0.5030303030303032,0.8484848484848485,0.0093
A0_arcface,A0,arcface,raw_ply,0.1672727272727273,0.03837373604430722,0.9302662993572085,0.02462710624019981,1.815797671035801,0.20879908674432235,0.4666666666666666,0.8181818181818182,0.009159999999999998
A1_softmax,A1,softmax,align_center,0.02484848484848483,0.004848484848484848,0.994931129476584,0.0015270976312938753,3.3252805759402406,0.09719318108307914,0.9393939393939394,0.9696969696969697,0.00928
A1_arcface,A1,arcface,align_center,0.017878787878787872,0.014671173862921452,0.9994123048668504,0.0004810211516513877,6.527127810781754,0.35026541719208654,0.9818181818181818,1.0,0.00968
A2_softmax,A2,softmax,align_centerscale,0.0,0.0,1.0,0.0,4.225395655312857,0.1231693375176283,1.0,1.0,0.009260000000000001
A2_arcface,A2,arcface,align_centerscale,0.0,0.0,1.0,0.0,9.480995079400364,1.1130098273296238,1.0,1.0,0.00932
A3_softmax,A3,softmax,canonical_npy,0.00030303030303030303,0.0006060606060606061,0.9999449035812672,0.00011019283746556141,4.110576411522564,0.08533544372429583,1.0,1.0,0.00928
A3_arcface,A3,arcface,canonical_npy,0.0,0.0,1.0,0.0,9.011123054274512,0.4618383480691579,1.0,1.0,0.00934
A4_softmax,A4,softmax,align_pca_robust,0.011212121212121206,0.013229624213904887,0.9982001836547291,0.002189731285331707,4.051938489056809,0.6748526634056489,0.9696969696969697,1.0,0.0093
A4_arcface,A4,arcface,align_pca_robust,0.005757575757575755,0.0092610344181431,0.9997428833792469,0.0002926974738385324,7.850266793652025,0.7903974717768897,0.9939393939393939,0.9696969696969697,0.009319999999999998
A5_softmax,A5,softmax,align_anatomical,0.0015151515151515152,0.0030303030303030303,0.9997612488521579,0.0004775022956841291,3.9092522873956748,0.3287576649643322,0.9878787878787879,1.0,0.00938
A5_arcface,A5,arcface,align_anatomical,0.005151515151515148,0.005386784495342776,0.9985674931129477,0.0025465170300083906,8.09302112492128,1.382894560698921,0.9878787878787879,1.0,0.0093
